0	0	4	1010
0	1	2	00
0	2	2	01
0	3	3	100
0	4	4	1011
0	5	5	11010
0	6	7	1111000
0	7	8	11111000
0	8	10	1111110110
0	9	16	1111111110000010
0	A	16	1111111110000011
1	1	4	1100
1	2	5	11011
1	3	7	1111001
1	4	9	111110110
1	5	11	11111110110
1	6	16	1111111110000100
1	7	16	1111111110000101
1	8	16	1111111110000110
1	9	16	1111111110000111
1	A	16	1111111110001000
2	1	5	11100
2	2	8	11111001
2	3	10	1111110111
2	4	12	111111110100
2	5	16	1111111110001001
2	6	16	1111111110001010
2	7	16	1111111110001011
2	8	16	1111111110001100
2	9	16	1111111110001101
2	A	16	1111111110001110
3	1	6	111010
3	2	9	111110111
3	3	12	111111110101
3	4	16	1111111110001111
3	5	16	1111111110010000
3	6	16	1111111110010001
3	7	16	1111111110010010
3	8	16	1111111110010011
3	9	16	1111111110010100
3	A	16	1111111110010101
4	1	6	111011
4	2	10	1111111000
4	3	16	1111111110010110
4	4	16	1111111110010111
4	5	16	1111111110011000
4	6	16	1111111110011001
4	7	16	1111111110011010
4	8	16	1111111110011011
4	9	16	1111111110011100
4	10	16	1111111110011101
5	1	7	1111010
5	2	11	11111110111
5	3	16	1111111110011110
5	4	16	1111111110011111
5	5	16	1111111110100000
5	6	16	1111111110100001
5	7	16	1111111110100010
5	8	16	1111111110100011
5	9	16	1111111110100100
5	10	16	1111111110100101
6	1	7	1111011
6	2	12	111111110110
6	3	16	1111111110100110
6	4	16	1111111110100111
6	5	16	1111111110101000
6	6	16	1111111110101001
6	7	16	1111111110101010
6	8	16	1111111110101011
6	9	16	1111111110101100
6	10	16	1111111110101101
7	1	8	11111010
7	2	12	111111110111
7	3	16	1111111110101110
7	4	16	1111111110101111
7	5	16	1111111110110000
7	6	16	1111111110110001
7	7	16	1111111110110010
7	8	16	1111111110110011
7	9	16	1111111110110100
7	10	16	1111111110110101
8	1	16	111111000
8	2	16	111111111000000
8	3	16	1111111110110110
8	4	16	1111111110110111
8	5	16	1111111110111000
8	6	16	1111111110111001
8	7	16	1111111110111010
8	8	16	1111111110111011
8	9	16	1111111110111100
8	10	16	1111111110111101
9	1	9	111111001
9	2	16	1111111110111110
9	3	16	1111111110111111
9	4	16	1111111111000000
9	5	16	1111111111000001
9	6	16	1111111111000010
9	7	16	1111111111000011
9	8	16	1111111111000100
9	9	16	1111111111000101
9	10	16	1111111111000110
10	1	9	111111010
10	2	16	1111111111000111
10	3	16	1111111111001000
10	4	16	1111111111001001
10	5	16	1111111111001011
